PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Bam Adebayo,MIA,21,82,39,43,23.3,105.0,104.5,0.5,14.6,1.52,20.7,8.3,22.1,15.1,13.6,57.9,62.3,15.7,99.50,13.3,2018
Bismack Biyombo,CHA,26,54,24,30,14.5,104.1,111.8,-7.7,6.4,0.97,12.5,9.9,20.5,15.1,12.9,57.1,60.2,12.8,98.68,8.5,2018
Boban Marjanovic,PHI,30,58,31,27,11.7,105.3,105.3,0.1,12.8,0.92,12.6,12.4,23.2,18.0,13.7,62.3,66.4,22.2,104.16,16.4,2018
Brook Lopez,MIL,31,81,60,21,28.7,114.9,103.4,11.5,5.5,1.20,9.6,1.4,13.5,7.9,8.0,57.1,59.7,16.5,104.79,8.8,2018
Channing Frye,CLE,36,36,7,29,9.5,99.1,121.9,-22.7,10.0,1.54,12.8,1.0,15.8,7.5,8.3,50.4,52.4,17.4,98.04,5.3,2018
Clint Capela,HOU,25,67,44,23,33.6,114.0,108.7,5.4,7.0,1.02,9.3,13.0,24.1,18.5,9.1,64.8,65.8,18.0,98.21,15.6,2018
Cody Zeller,CHA,26,49,22,27,25.4,112.3,110.9,1.4,11.4,1.65,17.8,8.4,17.1,12.7,10.8,55.9,61.1,15.9,100.64,10.1,2018
Cristiano Felicio,CHI,26,60,16,44,12.4,103.7,111.7,-8.0,7.0,1.12,13.2,10.1,18.7,14.3,11.8,53.1,56.8,13.8,101.48,8.6,2018
Damian Jones,GSW,24,24,15,9,17.1,114.2,111.1,3.0,8.4,1.75,20.9,8.6,9.9,9.4,11.9,71.6,72.0,11.3,100.72,7.2,2018
DeAndre Jordan,NYK,30,69,25,44,29.7,105.1,110.1,-5.1,11.9,1.02,17.8,10.5,31.5,21.0,17.4,64.1,67.4,14.8,100.18,15.4,2018
DeMarcus Cousins,GSW,28,30,23,7,25.7,111.0,106.5,4.5,20.6,1.49,17.5,5.9,23.2,15.3,11.8,51.5,56.2,28.1,102.56,13.9,2018
Deandre Ayton,PHX,20,71,17,54,30.7,105.2,113.3,-8.1,9.4,0.99,10.4,10.1,24.0,16.9,10.5,58.5,60.8,21.0,101.34,13.9,2018
Derrick Favors,UTA,27,76,46,30,23.2,106.3,101.6,4.6,7.9,1.06,10.0,11.5,18.8,15.2,9.4,60.0,62.4,18.8,102.36,14.2,2018
Dewayne Dedmon,ATL,29,64,24,40,25.1,107.9,112.0,-4.1,7.9,1.07,12.1,6.3,22.9,14.5,11.3,57.1,60.2,16.6,103.89,10.7,2018
Deyonta Davis,ATL,22,9,3,6,13.2,97.8,107.6,-9.8,6.3,1.67,14.3,6.3,19.3,12.2,8.6,68.2,68.2,9.9,107.81,10.8,2018
Donatas Motiejunas,SAS,28,3,3,0,4.3,67.9,129.6,-61.8,20.0,0.33,9.1,15.4,7.7,11.5,27.3,50.0,43.6,32.3,103.26,-12.0,2018
Dwight Howard,WAS,33,9,4,5,25.5,104.5,113.6,-9.1,2.6,0.25,3.6,10.0,25.8,17.7,14.5,62.3,63.8,19.3,102.57,11.1,2018
Dwight Powell,DAL,27,77,31,46,21.6,110.8,109.9,0.9,10.1,1.67,14.5,8.1,16.0,12.0,8.7,63.7,68.2,16.7,100.94,12.3,2018
Ed Davis,BKN,30,81,42,39,17.9,106.5,102.2,4.3,6.4,0.95,12.2,13.5,30.7,22.0,12.8,61.6,63.2,12.5,100.93,13.9,2018
Ekpe Udoh,UTA,32,51,35,16,6.3,102.8,110.5,-7.7,13.1,2.15,22.0,9.0,18.9,14.2,10.2,69.4,69.8,12.8,105.52,12.5,2018
Enes Kanter,POR,27,67,28,39,24.5,106.4,112.6,-6.2,12.0,0.98,11.6,13.8,24.5,18.8,11.8,55.6,59.4,21.9,100.15,15.2,2018
Eric Moreland,TOR,27,5,3,2,8.6,83.7,105.6,-21.9,15.4,0.80,25.0,10.8,34.8,24.1,31.3,50.0,50.0,11.7,100.54,9.5,2018
Frank Kaminsky,CHA,26,47,22,25,16.1,109.9,109.1,0.9,12.9,1.54,14.1,4.8,16.4,10.4,9.2,54.7,58.7,21.6,100.36,10.6,2018
Gorgui Dieng,MIN,29,76,33,43,13.6,105.2,109.0,-3.8,10.6,1.26,13.0,7.2,22.5,14.5,10.3,52.7,57.2,19.4,103.64,11.8,2018
Greg Monroe,PHI,29,43,28,15,11.2,100.0,106.7,-6.7,7.9,0.75,8.7,11.9,21.8,16.5,11.6,48.9,52.1,21.1,103.92,10.6,2018
Harry Giles III,SAC,21,58,26,32,14.1,104.1,109.1,-5.0,15.5,1.16,15.5,7.6,17.1,12.5,13.3,50.3,52.6,22.7,106.54,9.0,2018
Hassan Whiteside,MIA,30,72,33,39,23.3,107.0,106.2,0.8,5.4,0.58,6.0,13.9,30.5,22.2,10.4,57.2,56.4,21.5,99.36,16.2,2018
Ian Mahinmi,WAS,32,34,12,22,14.6,102.1,105.3,-3.2,7.3,1.19,14.1,8.8,16.1,12.3,11.9,46.6,53.1,12.8,100.63,6.8,2018
Ike Anigbogu,IND,20,3,2,1,2.1,78.6,92.9,-14.3,20.0,1.00,20.0,14.3,25.0,20.0,20.0,0.0,0.0,26.7,109.27,0.0,2018
Isaac Humphries,ATL,21,5,1,4,11.3,97.7,114.7,-17.1,0.0,0.00,0.0,5.5,12.3,8.5,0.0,35.7,35.7,14.2,109.72,1.2,2018
Isaiah Hartenstein,HOU,21,28,15,13,7.9,113.0,103.4,9.6,10.0,1.15,20.0,8.9,11.8,10.3,17.3,51.2,56.2,11.2,102.40,3.1,2018
Ivica Zubac,LAC,22,59,32,27,17.6,106.5,104.7,1.8,9.3,0.90,11.1,10.8,21.6,16.4,12.3,55.9,60.4,19.9,104.36,12.7,2018
JaVale McGee,LAL,31,75,35,40,22.3,106.7,111.1,-4.4,4.5,0.48,6.0,11.2,20.3,15.9,12.5,62.5,63.4,19.7,104.87,12.7,2018
Jahlil Okafor,NOP,23,59,23,36,15.8,106.0,111.5,-5.5,6.4,0.77,8.2,8.4,19.6,14.0,10.7,58.7,60.3,19.8,103.79,11.5,2018
Jakob Poeltl,SAS,23,77,43,34,16.5,110.0,106.0,3.9,9.9,1.94,19.8,13.6,17.1,15.4,10.2,64.5,64.0,12.5,100.93,11.0,2018
Jaren Jackson Jr.,MEM,19,58,23,35,26.1,101.3,103.6,-2.3,7.4,0.65,7.7,4.9,13.2,9.0,11.7,54.9,59.1,23.1,96.48,10.0,2018
Jarrett Allen,BKN,21,80,42,38,26.2,109.2,111.6,-2.4,7.6,1.07,12.1,8.8,20.8,15.0,11.3,59.5,63.2,15.8,102.55,12.1,2018
Jason Smith,NOP,33,20,10,10,9.5,96.0,108.1,-12.1,11.2,1.08,14.9,7.7,17.4,12.5,13.8,43.2,49.2,16.9,106.07,6.2,2018
Joakim Noah,MEM,34,42,14,28,16.5,103.5,101.7,1.8,20.2,1.78,22.1,7.8,24.7,16.1,12.4,51.6,57.1,19.1,100.40,14.2,2018
Joel Embiid,PHI,25,64,43,21,33.7,112.5,104.8,7.6,18.5,1.04,12.0,7.5,29.2,19.1,11.6,51.7,59.3,32.7,103.92,19.6,2018
John Collins,ATL,21,61,24,37,30.0,111.7,113.0,-1.4,10.2,1.01,10.2,11.2,19.6,15.4,10.2,59.3,62.7,23.0,105.00,13.6,2018
Jonas Valanciunas,MEM,27,49,31,18,22.3,109.7,107.0,2.7,10.9,0.78,8.9,9.6,26.8,18.4,11.5,57.2,61.6,27.4,101.77,16.9,2018
