PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Furkan Korkmaz,PHI,22,64,38,26,21.8,108.4,105.5,2.9,7.3,1.35,10.5,1.1,9.0,5.1,7.8,55.4,57.1,17.8,102.07,7.7,2019
Gabe Vincent,MIA,23,6,4,2,6.9,90.8,97.7,-6.9,12.5,0.00,13.6,0.0,7.0,3.4,0.0,31.6,31.6,19.4,100.52,1.5,2019
Garrett Temple,BKN,33,55,26,29,28.1,104.2,105.7,-1.6,13.5,2.47,18.8,1.6,9.1,5.4,7.6,48.5,50.7,16.1,102.82,7.6,2019
Garrison Mathews,WAS,23,18,8,10,12.6,111.8,104.7,7.1,6.3,1.25,11.6,2.5,7.5,5.0,9.3,59.8,69.1,13.7,103.85,7.8,2019
Gary Harris,DEN,25,56,37,19,31.8,110.5,107.1,3.4,9.1,1.97,16.0,1.5,7.7,4.6,8.1,48.7,51.9,15.0,97.71,6.2,2019
Gary Payton II,WAS,27,29,13,16,14.9,101.7,116.1,-14.3,15.8,2.40,25.7,5.3,12.7,8.8,10.7,47.0,47.3,12.9,102.83,6.9,2019
Gary Trent Jr.,POR,21,53,23,30,20.0,108.8,113.2,-4.4,6.7,2.63,11.5,1.7,5.8,3.8,4.4,53.7,55.5,15.1,102.11,6.6,2019
George Hill,MIL,33,52,44,8,21.2,113.0,101.4,11.5,18.9,3.08,26.5,3.9,8.5,6.3,8.6,63.8,66.8,15.5,104.52,11.9,2019
Goran Dragic,MIA,33,54,34,20,28.4,111.0,108.7,2.3,29.3,2.05,23.4,1.7,8.6,5.3,11.4,52.6,57.1,24.7,100.54,11.1,2019
Grayson Allen,MEM,24,30,14,16,16.6,105.2,111.6,-6.5,11.9,1.87,16.8,0.9,11.8,6.3,9.0,54.3,57.7,17.3,105.99,8.2,2019
Hamidou Diallo,OKC,21,38,21,17,18.4,104.3,102.4,1.9,4.5,0.59,7.4,4.0,11.9,8.1,12.5,46.8,48.8,16.4,102.95,5.3,2019
Iman Shumpert,BKN,29,13,9,4,18.5,97.2,106.2,-9.0,7.8,1.20,13.5,3.5,9.2,6.4,11.2,39.1,40.3,13.4,99.83,3.9,2019
Isaac Bonga,WAS,20,58,21,37,17.7,109.3,107.4,1.9,7.6,1.49,19.6,5.6,12.1,8.7,13.1,58.2,62.7,10.0,103.84,6.2,2019
Isaiah Thomas,WAS,31,40,14,26,23.1,109.8,120.2,-10.4,22.4,1.90,21.3,1.1,6.3,3.6,11.3,50.0,53.1,23.6,105.14,7.0,2019
Ish Smith,WAS,31,60,22,38,26.2,110.1,113.6,-3.5,25.5,3.70,29.3,1.6,10.0,5.6,7.9,49.8,51.2,17.8,104.33,9.9,2019
J.J. Barea,DAL,35,26,13,13,15.0,113.4,108.0,5.5,36.7,2.83,30.8,2.5,9.8,6.1,10.9,49.4,51.9,24.5,100.06,10.7,2019
J.P. Macura,CLE,24,1,1,0,0.6,150.0,0.0,150.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.51,0.0,2019
JJ Redick,NOP,35,54,24,30,26.4,112.2,112.4,-0.2,10.6,1.66,13.6,0.6,8.6,4.6,8.2,59.0,63.9,19.3,106.01,9.6,2019
Ja Morant,MEM,20,59,31,28,30.0,107.9,108.3,-0.4,34.8,2.14,26.9,2.5,8.2,5.5,12.6,52.3,56.8,25.8,103.56,13.1,2019
Jacob Evans,MIN,22,29,8,21,14.4,99.0,110.0,-11.0,12.0,1.24,15.2,1.9,7.7,4.6,12.3,38.4,43.6,16.7,103.95,3.3,2019
Jalen Brunson,DAL,23,57,34,23,17.9,113.2,105.6,7.6,26.5,2.85,27.9,2.1,10.0,6.1,9.8,52.2,55.3,19.9,100.74,10.7,2019
Jalen Lecque,PHX,19,4,1,3,6.6,90.9,120.0,-29.1,13.3,2.00,14.3,0.0,0.0,0.0,7.1,40.0,46.0,21.4,104.80,2.8,2019
Jamal Murray,DEN,23,55,37,18,32.8,112.9,107.0,5.9,22.5,2.15,20.4,2.4,9.7,6.1,9.5,51.7,55.9,24.8,97.53,12.0,2019
James Harden,HOU,30,61,39,22,36.7,113.8,108.2,5.6,35.6,1.65,18.8,2.6,13.2,8.0,11.4,53.3,61.6,35.8,102.77,18.3,2019
Jared Harper,PHX,22,3,1,2,2.6,83.3,144.4,-61.1,0.0,0.00,0.0,0.0,0.0,0.0,0.0,25.0,25.0,22.2,109.60,-2.6,2019
Jarrett Culver,MIN,21,63,19,44,23.9,106.0,109.3,-3.3,10.5,1.36,13.5,4.1,9.2,6.5,10.0,46.2,46.7,18.7,105.22,5.5,2019
Javonte Green,BOS,26,44,30,14,9.4,105.1,105.1,-0.1,7.6,1.28,14.7,4.4,13.5,9.2,11.5,53.1,55.8,13.3,103.43,8.3,2019
Jaylen Brown,BOS,23,50,33,17,34.0,113.4,106.9,6.5,10.0,0.94,10.0,3.1,14.8,9.0,10.6,55.9,58.9,24.5,99.67,11.4,2019
Jaylen Nowell,MIN,20,15,2,13,10.1,99.7,98.5,1.2,19.4,6.33,23.2,1.6,6.5,3.8,3.7,38.7,47.1,16.5,107.46,8.0,2019
Jayson Tatum,BOS,22,59,41,18,34.6,113.8,103.5,10.3,13.8,1.32,11.3,2.6,16.8,9.7,8.6,52.3,56.2,27.9,100.59,14.3,2019
Jeff Teague,ATL,31,59,22,37,24.8,108.0,113.7,-5.7,30.6,2.66,30.9,1.7,7.4,4.6,11.6,48.0,55.7,19.2,104.32,10.0,2019
